image,class,confidence,timestamp,model,map50,location
000000000415.jpg,person,0.9265,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000415.jpg,tennis racket,0.8932,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000629.jpg,motorcycle,0.9513,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000078.jpg,clock,0.9797,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000078.jpg,toilet,0.3301,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,teddy bear,0.9532,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,teddy bear,0.9216,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,dog,0.8354,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,teddy bear,0.6561,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,teddy bear,0.4923,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000309.jpg,teddy bear,0.2545,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,truck,0.9888,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,truck,0.9827,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,truck,0.9804,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,truck,0.9003,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,person,0.8265,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,person,0.8009,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,truck,0.7903,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,person,0.7845,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,person,0.7661,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
000000000257.jpg,backpack,0.7523,2025-01-01T00:00:00Z,yolov8n,0.868,SoCal Test Dataset
